,city,cloudiness,country_code,humidity,lat,lng,temp,temp_max,temp_min,url,wind_speed
0,Grou,90,NL,86,53.09,5.84,35.16800000000006,37.39999999999998,33.799999999999955,https://api.openweathermap.org/data/2.5/weather?lat=53.09456&lon=5.83745&appid=de6eeb5e838ae1aee6c66e7e9de1f551,9.3
1,New York,1,US,86,42.97,-75.5,32.846000000000004,33.799999999999955,31.999999999999943,https://api.openweathermap.org/data/2.5/weather?lat=42.97479&lon=-75.50129&appid=de6eeb5e838ae1aee6c66e7e9de1f551,0.42
2,Stratford-upon-Avon,88,GB,100,52.22,-1.77,42.27800000000002,44.599999999999966,40.99999999999994,https://api.openweathermap.org/data/2.5/weather?lat=52.22081&lon=-1.76528&appid=de6eeb5e838ae1aee6c66e7e9de1f551,2.6
3,Belpre,90,US,93,39.27,-81.57,58.99999999999994,60.80000000000001,57.19999999999999,https://api.openweathermap.org/data/2.5/weather?lat=39.27396&lon=-81.5729&appid=de6eeb5e838ae1aee6c66e7e9de1f551,3.6
4,Abu al Matamir,0,EG,93,30.91,30.17,49.99999999999994,49.99999999999994,49.99999999999994,https://api.openweathermap.org/data/2.5/weather?lat=30.91018&lon=30.17438&appid=de6eeb5e838ae1aee6c66e7e9de1f551,1.37
5,Alfedena,32,IT,66,41.74,14.04,8.151800000000037,8.151800000000037,8.151800000000037,https://api.openweathermap.org/data/2.5/weather?lat=41.73545&lon=14.035&appid=de6eeb5e838ae1aee6c66e7e9de1f551,0.82
6,Savarsin,88,RO,99,46.02,22.23,31.146799999999985,31.146799999999985,31.146799999999985,https://api.openweathermap.org/data/2.5/weather?lat=46.01667&lon=22.23333&appid=de6eeb5e838ae1aee6c66e7e9de1f551,1.17
7,Dammarie,90,FR,100,48.34,1.49,43.35799999999995,44.599999999999966,40.99999999999994,https://api.openweathermap.org/data/2.5/weather?lat=48.34314&lon=1.49444&appid=de6eeb5e838ae1aee6c66e7e9de1f551,5.7
8,Ash Shajarah,68,JO,88,32.64,35.94,38.886799999999994,38.886799999999994,38.886799999999994,https://api.openweathermap.org/data/2.5/weather?lat=32.64391&lon=35.94175&appid=de6eeb5e838ae1aee6c66e7e9de1f551,1.52
9,Lucany nad Nisou,24,CZ,76,50.74,15.22,16.20679999999993,16.20679999999993,16.20679999999993,https://api.openweathermap.org/data/2.5/weather?lat=50.74136&lon=15.22046&appid=de6eeb5e838ae1aee6c66e7e9de1f551,1.67
